
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
156   0   0   0.06   1       1.00
157   0   0   0.08   1       1.00
158   0   0   0.07   1       1.00
159   0   0   0.05   1       1.00
160   0   0   0.04   1       1.00
161   0   0   0.06   2       1.00
162   0   0   0.06   1       1.00
163   0   0   0.05   1       1.00
164   0   0   0.01   1       1.00
165   0   0   0.01   1       1.00
167   0   0   0.01   1       1.00
169   0   0   0.01   1       1.00
175   0   0   0.01   1       1.00
176   1   0   0.01   1       0.02
177   0   0   0.01   1       1.00
183   0   0   0.01   1       1.00
184   0   0   0.01   1       1.00
190   0   0   0.01   1       1.00
194   1   0   0.00   0       0.00
203   1   0   0.00   0       0.00
205   1   0   0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

    obs min    mean  max MC p-value
0   490 281  321.20  375       0.00
1   487 831 1221.28 1296       0.00
2   338 615 1172.69 1326       0.00
3   336 472  958.18 1128       0.00
4   242 502  792.44  944       0.00
5   276 452  679.56  761       0.00
6   347 487  633.53  740       0.00
7   314 392  631.38  727       0.00
8   358 388  658.06  755       0.00
9   434 388  678.31  792       0.02
10  419 411  697.72  800       0.02
11  419 439  700.06  815       0.00
12  326 426  697.26  863       0.00
13  581 381  683.97  862       0.30
14  324 369  662.98  840       0.00
15  313 354  640.45  826       0.00
16  680 302  608.06  741       0.50
17  627 288  561.96  687       0.26
18  464 258  517.38  617       0.30
19  342 235  458.44  548       0.26
20  495 216  400.39  493       0.00
21  273 182  336.23  440       0.18
22  214 172  279.09  370       0.12
23  267 159  221.76  326       0.34
24  351 117  179.10  316       0.00
25  174  77  137.03  324       0.26
26  161  40  102.04  254       0.16
27  169  32   79.19  254       0.16
28  151  18   60.47  256       0.16
29  108  10   50.00  268       0.28
30  104   3   38.24  231       0.24
31  133   1   31.44  251       0.16
32  124   0   26.40  254       0.16
33   88   0   22.50  226       0.20
34  139   0   20.13  219       0.12
35  105   0   18.10  223       0.14
36   98   0   17.57  239       0.12
37   74   0   16.56  253       0.18
38   84   0   15.55  236       0.16
39   73   0   14.18  225       0.16
40   67   0   13.46  237       0.14
41  113   0   13.62  247       0.12
42   54   0   12.19  221       0.16
43   41   0   11.56  215       0.16
44   44   0   11.39  218       0.14
45   44   0   10.92  212       0.14
46   54   0   10.03  231       0.12
47   69   0    9.63  203       0.10
48   22   0    9.31  213       0.14
49   30   0    8.55  200       0.10
50   26   0    8.26  215       0.12
51   21   0    7.59  195       0.10
52   96   0    7.22  206       0.06
53   80   0    6.50  202       0.06
54   39   0    5.79  199       0.06
55   30   0    5.73  212       0.08
56  112   0    5.25  200       0.04
57  357   0    4.80  216       0.00
58  220   0    4.42  212       0.00
59  193   0    3.78  194       0.02
60  128   0    3.52  199       0.02
61  183   0    2.95  180       0.00
62  226   0    2.44  158       0.00
63  187   0    1.83  126       0.00
64  156   0    1.70  117       0.00
65  105   0    1.11   74       0.00
66  139   0    0.94   64       0.00
67  165   0    0.79   47       0.00
68  195   0    0.40   22       0.00
69  195   0    0.39   23       0.00
70  242   0    0.39   20       0.00
71  208   0    0.34   17       0.00
72  264   0    0.19   11       0.00
73  299   0    0.20   12       0.00
74  118   0    0.21   11       0.00
75  112   0    0.12    6       0.00
76   82   0    0.11    3       0.00
77   52   0    0.08    4       0.00
78   39   0    0.12    7       0.00
79   23   0    0.07    2       0.00
80    9   0    0.07    6       0.00
81   11   0    0.05    2       0.00
82   11   0    0.04    1       0.00
83    5   0    0.08    3       0.00
84    4   0    0.03    2       0.00
85    8   0    0.04    2       0.00
86   14   0    0.02    1       0.00
87    6   0    0.03    1       0.00
88    2   0    0.02    1       0.00
89    0   0    0.01    1       1.00
90    0   0    0.08    2       1.00
91    4   0    0.01    1       0.00
92   11   0    0.01    1       0.00
93    2   0    0.02    1       0.00
94    6   0    0.00    0       0.00
95    1   0    0.07    2       0.10
97    0   0    0.01    1       1.00
98    1   0    0.02    1       0.04
100   1   0    0.03    1       0.06
101   0   0    0.02    1       1.00
102   0   0    0.06    3       1.00
103   1   0    0.03    2       0.04
104   0   0    0.02    2       1.00
106   0   0    0.01    1       1.00
107   0   0    0.02    1       1.00
108   0   0    0.02    1       1.00
109   0   0    0.02    1       1.00
110   0   0    0.02    1       1.00
111   0   0    0.02    1       1.00
112   0   0    0.02    1       1.00
113   0   0    0.01    1       1.00
115   0   0    0.01    1       1.00
116   2   0    0.03    1       0.00
117   0   0    0.02    1       1.00
118   0   0    0.01    1       1.00
119   0   0    0.02    2       1.00
120   0   0    0.01    1       1.00
121   0   0    0.01    1       1.00
122   0   0    0.01    1       1.00
123   1   0    0.00    0       0.00
124   0   0    0.01    1       1.00
126   0   0    0.01    1       1.00
129   1   0    0.01    1       0.02
134   0   0    0.02    2       1.00
136   1   0    0.00    0       0.00
137   1   0    0.00    0       0.00
138   1   0    0.00    0       0.00
140   3   0    0.00    0       0.00
143   4   0    0.02    1       0.00
144   0   0    0.01    1       1.00
145   1   0    0.00    0       0.00
161   0   0    0.01    1       1.00
172   1   0    0.00    0       0.00
173   1   0    0.00    0       0.00
199   1   0    0.00    0       0.00
