
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
156   0   0   0.03   1       1.00
157   0   0   0.03   1       1.00
158   0   0   0.01   1       1.00
159   0   0   0.05   1       1.00
160   0   0   0.07   1       1.00
161   0   0   0.04   1       1.00
162   0   0   0.04   1       1.00
163   0   0   0.04   1       1.00
164   0   0   0.01   1       1.00
165   0   0   0.04   1       1.00
166   0   0   0.03   1       1.00
167   0   0   0.05   1       1.00
168   0   0   0.03   1       1.00
169   0   0   0.03   1       1.00
170   0   0   0.01   1       1.00
171   0   0   0.05   1       1.00
172   0   0   0.04   1       1.00
173   0   0   0.04   1       1.00
174   0   0   0.07   1       1.00
175   0   0   0.01   1       1.00
176   1   0   0.04   1       0.08
177   0   0   0.01   1       1.00
178   0   0   0.02   1       1.00
179   0   0   0.08   1       1.00
181   0   0   0.01   1       1.00
182   0   0   0.01   1       1.00
183   0   0   0.03   1       1.00
184   0   0   0.01   1       1.00
185   0   0   0.01   1       1.00
186   0   0   0.01   1       1.00
187   0   0   0.03   1       1.00
188   0   0   0.03   1       1.00
189   0   0   0.02   1       1.00
190   0   0   0.01   1       1.00
192   0   0   0.04   1       1.00
193   0   0   0.02   1       1.00
194   1   0   0.00   0       0.00
203   1   0   0.00   0       0.00
205   1   0   0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

    obs  min    mean  max MC p-value
0   490 1074 1875.21 2269       0.00
1   487  561  662.14  812       0.00
2   338  453  512.77  602       0.00
3   336  453  526.27  597       0.00
4   242  411  505.97  559       0.00
5   276  414  556.08  632       0.00
6   347  409  575.76  680       0.00
7   314  344  583.86  705       0.00
8   358  365  577.02  668       0.00
9   434  419  540.95  619       0.02
10  419  400  515.09  623       0.08
11  419  392  489.94  599       0.18
12  326  367  465.91  557       0.00
13  581  366  443.66  547       0.00
14  324  374  427.04  520       0.00
15  313  346  406.87  495       0.00
16  680  313  376.87  447       0.00
17  627  319  353.19  404       0.00
18  464  257  312.68  394       0.00
19  342  238  285.76  360       0.06
20  495  207  262.94  344       0.00
21  273  198  247.77  347       0.46
22  214  168  221.77  319       0.98
23  267  166  210.02  315       0.28
24  351  155  203.23  314       0.00
25  174  125  192.12  297       1.00
26  161  125  187.53  292       0.92
27  169  123  184.07  292       0.94
28  151  108  179.87  274       0.98
29  108   98  175.84  270       0.08
30  104   91  173.54  252       0.04
31  133  102  170.47  254       0.70
32  124   90  165.17  265       0.70
33   88   84  155.87  256       0.04
34  139   71  154.84  248       0.90
35  105   60  145.30  256       0.76
36   98   55  135.50  243       0.84
37   74   49  132.72  246       0.52
38   84   26  129.02  243       0.76
39   73   27  120.29  235       0.74
40   67   19  117.84  255       0.66
41  113    8  115.19  249       0.96
42   54   12  113.89  265       0.68
43   41    7  109.41  270       0.66
44   44    5  108.49  277       0.78
45   44    4  100.30  249       0.86
46   54    5   96.17  252       0.96
47   69    2   89.66  233       0.96
48   22    1   83.81  224       0.98
49   30    0   80.32  234       0.98
50   26    1   74.64  227       0.92
51   21    0   67.44  227       0.90
52   96    0   63.64  233       0.62
53   80    0   58.36  211       0.60
54   39    0   55.55  218       0.68
55   30    0   52.58  223       0.62
56  112    0   46.50  201       0.44
57  357    0   44.40  222       0.00
58  220    0   39.80  228       0.04
59  193    0   36.77  237       0.18
60  128    0   31.54  233       0.24
61  183    0   27.08  228       0.10
62  226    0   21.19  200       0.00
