"journal","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"Cell","m0_edges","edges",-2.68248940050177,0.00655417775607709,-409.279317762559,0,0.0683926852746152,0.067519719103256,0.0692769380737397,"***","ok",NA
"Cell","m1_prior","edges",-3.31643326611088,0.00886627400566821,-374.050391854649,0,0.036282009518661,0.0356569513210422,0.036918024843458,"***","ok",NA
"Cell","m1_prior","edgecov.prior",6.80518651445254,0.0544486612183146,124.983541600166,0,902.516086524934,811.161473480115,1004.15923717591,"***","ok",NA
"Cell","m2_prior_expertise","edges",-3.36073874366867,0.00926409117641803,-362.770473613593,0,0.0347096079680283,0.0340850515295011,0.0353456084480751,"***","ok",NA
"Cell","m2_prior_expertise","edgecov.prior",7.0920566402974,0.0557164908834087,127.288286247928,0,1202.37811875393,1077.98875295802,1341.12080157717,"***","ok",NA
"Cell","m2_prior_expertise","nodecov.expertise_model_z",-0.207548339374775,0.00696781320582631,-29.78672551113,5.80434445326743e-195,0.812573961506456,0.801552142215983,0.823747337375814,"***","ok",NA
"Cell","m3_prior_expertise_similarity","edges",-3.12090311579923,0.0154649599504528,-201.804797800841,0,0.044117307385518,0.0428001172333097,0.0454750345738194,"***","ok",NA
"Cell","m3_prior_expertise_similarity","edgecov.prior",6.90421128859977,0.0562200167183305,122.806994583277,0,996.462282139443,892.494236412519,1112.54172768417,"***","ok",NA
"Cell","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.109643010013839,0.00827708907411158,-13.2465663993845,4.72323228347941e-40,0.896153996202263,0.881732898859906,0.910810956410605,"***","ok",NA
"Cell","m3_prior_expertise_similarity","absdiff.expertise_model_z",-0.234103607907799,0.0129550704445235,-18.0704233844411,5.4493914616363e-73,0.791279828800856,0.771440643999108,0.811629219094963,"***","ok",NA
"Cell","m4_full","edges",-3.10147052874922,0.0186930771640277,-165.915461725991,0,0.0449830049308735,0.04336472484366,0.0466616758184464,"***","ok",NA
"Cell","m4_full","edgecov.prior",7.02606064369458,0.0566386029184727,124.050740690199,0,1125.58777368034,1007.32036683052,1257.74071286282,"***","ok",NA
"Cell","m4_full","nodecov.expertise_model_z",-0.172330163656269,0.00890647997217929,-19.3488520935957,2.08432718725533e-83,0.841701228132384,0.827135407157493,0.856523552623914,"***","ok",NA
"Cell","m4_full","absdiff.expertise_model_z",-0.228814508855167,0.0130911125200393,-17.4786144802367,2.08503961443696e-68,0.795476073588559,0.775324917273061,0.816150970456959,"***","ok",NA
"Cell","m4_full","nodecov.leadership_model_z",0.124096232500253,0.00711535541745612,17.4406231620992,4.05626944306654e-68,1.13212481295856,1.1164456764331,1.1480241440957,"***","ok",NA
"Cell","m4_full","absdiff.leadership_model_z",-0.0350832232556835,0.0112458034613113,-3.11967245171761,0.0018105224516906,0.965525058774972,0.944476004338497,0.987043222739518,"**","ok",NA
"Geology","m0_edges","edges",-3.10118624239058,0.0988233391047981,-31.3811116936851,3.66300591519228e-216,0.0449957948034531,0.0370724939601141,0.0546124992878205,"***","ok",NA
"Geology","m1_prior","edges",-3.41351437025596,0.115069947771833,-29.6646903588108,2.19265673642084e-193,0.032925285167848,0.0262772569704594,0.0412552346922213,"***","ok",NA
"Geology","m1_prior","edgecov.prior",4.58358562290622,0.398541042569035,11.500912411329,1.30528252880292e-30,97.8646716587521,44.8106206529491,213.732678086552,"***","ok",NA
"Geology","m2_prior_expertise","edges",-3.44847756038301,0.118615095897429,-29.0728387840703,7.9174918329796e-186,0.0317940040016073,0.0251986930641859,0.0401155205898723,"***","ok",NA
"Geology","m2_prior_expertise","edgecov.prior",4.74674960820772,0.411880348732924,11.5245838331696,9.91903164664356e-31,115.209200233131,51.391054723101,258.277630024808,"***","ok",NA
"Geology","m2_prior_expertise","nodecov.expertise_model_z",-0.194096859581546,0.0813765329132873,-2.38516993330707,0.0170712336930509,0.823578128972196,0.702159379716825,0.965992841674903,"*","ok",NA
"Geology","m3_prior_expertise_similarity","edges",-3.60075783676676,0.20873735080393,-17.2501846119001,1.11542397230191e-66,0.0273030233700688,0.0181355161639892,0.0411047073822326,"***","ok",NA
"Geology","m3_prior_expertise_similarity","edgecov.prior",4.79994832126912,0.417298724437743,11.5024274942044,1.28256723840135e-30,121.504138176825,53.6264717112889,275.297910210736,"***","ok",NA
"Geology","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.221036455616187,0.08812365641183,-2.50825334100089,0.0121329643451856,0.801687453747347,0.674516715093426,0.952834465202074,"*","ok",NA
"Geology","m3_prior_expertise_similarity","absdiff.expertise_model_z",0.127366376867259,0.138710117126191,0.918219806212033,0.35850380145017,1.13583308452545,0.865450193349907,1.49068866795088,"","ok",NA
"Geology","m4_full","edges",-3.08028301101857,0.221149895399433,-13.9284850461045,4.25280641925313e-44,0.0459462515133923,0.0297854039439314,0.0708755883286258,"***","ok",NA
"Geology","m4_full","edgecov.prior",4.30359031926812,0.448083986617489,9.60442784790237,7.65820659757631e-22,73.9648750675935,30.7332676748148,178.009146363825,"***","ok",NA
"Geology","m4_full","nodecov.expertise_model_z",-0.206199288177116,0.0973529575216898,-2.11805879786627,0.0341700883816718,0.813670905132605,0.672326572905326,0.984730291111876,"*","ok",NA
"Geology","m4_full","absdiff.expertise_model_z",0.298211173059098,0.144599883798734,2.06231958992563,0.0391773191514602,1.34744630219522,1.01490539455386,1.78894658264941,"*","ok",NA
"Geology","m4_full","nodecov.leadership_model_z",-0.138732917963759,0.0929406124352662,-1.49270501160499,0.1355144209469,0.870460481772757,0.725498322878834,1.04438759737092,"","ok",NA
"Geology","m4_full","absdiff.leadership_model_z",-0.826823194613084,0.185146967647778,-4.46576687221811,7.97824504068771e-06,0.437436732699994,0.304309120274384,0.628804338636687,"***","ok",NA
"Journal of the ACM","m0_edges","edges",-3.58351889425904,0.078912326128536,-45.4113960399804,0,0.0277777790054741,0.0237972071109261,0.0324241833455612,"***","ok",NA
"Journal of the ACM","m1_prior","edges",-3.60169971278347,0.0796317632342288,-45.2294356736701,0,0.0272773194140428,0.0233355350977017,0.0318849407695389,"***","ok",NA
"Journal of the ACM","m1_prior","edgecov.prior",4.70031200145158,1.15744310920629,4.06094430392764,4.88746310727873e-05,109.98148148148,11.3784760777542,1063.05327586966,"***","ok",NA
"Journal of the ACM","m2_prior_expertise","edges",-3.61659007002881,0.080880622882529,-44.7151609512397,0,0.026874159430481,0.0229344280094813,0.0314906674278659,"***","ok",NA
"Journal of the ACM","m2_prior_expertise","edgecov.prior",5.06984585138596,1.17403587985404,4.3183057165308,1.57231541586713e-05,159.149792732384,15.9384674986225,1589.15256620184,"***","ok",NA
"Journal of the ACM","m2_prior_expertise","nodecov.expertise_model_z",-0.130614403617668,0.0643247572255151,-2.03054639071158,0.0423010306627305,0.877556091614123,0.773607277338456,0.995472401162704,"*","ok",NA
"Journal of the ACM","m3_prior_expertise_similarity","edges",-3.72762802828078,0.16205336388064,-23.0024723894429,4.40312142243385e-117,0.0240498137130191,0.0175052818868369,0.0330410868770897,"***","ok",NA
"Journal of the ACM","m3_prior_expertise_similarity","edgecov.prior",5.34614243122381,1.22982941225156,4.34706015156698,1.37974390137615e-05,209.797426873667,18.8342455239386,2336.96434863121,"***","ok",NA
"Journal of the ACM","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.222236894282956,0.134764700220426,-1.64907348823139,0.0991325802742501,0.800725654535188,0.614850760353917,1.04279219474616,"","ok",NA
"Journal of the ACM","m3_prior_expertise_similarity","absdiff.expertise_model_z",0.125720404243638,0.154740830390149,0.812457862134114,0.416528956146227,1.13396507213369,0.837301026907799,1.53574012630557,"","ok",NA
"Journal of the ACM","m4_full","edges",-3.64185329254488,0.186673055955249,-19.5092605834766,9.15973937206692e-85,0.0262037357488666,0.0181745596858862,0.0377800496443198,"***","ok",NA
"Journal of the ACM","m4_full","edgecov.prior",5.33129023705405,1.23139888592398,4.32945838915041,1.49476509838837e-05,206.704499983702,18.4995872429418,2309.60560105545,"***","ok",NA
"Journal of the ACM","m4_full","nodecov.expertise_model_z",-0.251877832100239,0.13723068795542,-1.83543372005875,0.0664414512918609,0.77733969822662,0.594015431801669,1.01724126022504,"","ok",NA
"Journal of the ACM","m4_full","absdiff.expertise_model_z",0.140170824044116,0.155671223904364,0.900428611843055,0.367892200109924,1.15047031006333,0.847940530473135,1.5609372199707,"","ok",NA
"Journal of the ACM","m4_full","nodecov.leadership_model_z",0.0538441804559105,0.0668280174755734,0.805712670970546,0.420408541727997,1.05532014983835,0.925761410302149,1.20301041527682,"","ok",NA
"Journal of the ACM","m4_full","absdiff.leadership_model_z",-0.0961292343995826,0.100503088873727,-0.956480397536442,0.338829583305292,0.90834661885309,0.745936137812625,1.10611825618388,"","ok",NA
"Management Science","m0_edges","edges",-6.06119835612233,0.0301861442221339,-200.794056753959,0,0.00233160511943107,0.00219765763146524,0.0024737167223507,"***","ok",NA
"Management Science","m1_prior","edges",-6.15639618859757,0.0316560820929895,-194.477515269047,0,0.00211987916704904,0.00199234665871746,0.00225557518478304,"***","ok",NA
"Management Science","m1_prior","edgecov.prior",6.79127446103353,0.172829488403397,39.2946511834958,0,890.047169743485,634.304208672495,1248.90226729902,"***","ok",NA
