
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
14  104 144 258.19 330       0.00
15  141 129 233.57 309       0.04
16  226 126 206.92 267       0.54
17  178 125 179.88 227       0.98
18  131 115 155.12 195       0.24
19  132  93 134.00 169       0.84
20  140  75 111.50 150       0.16
21   71  56  94.65 142       0.38
22   74  32  78.69 123       0.90
23   81  27  67.17 124       0.72
24  102  16  58.16 118       0.08
25   79  11  50.60 114       0.40
26   55   7  42.64 104       0.66
27   80   5  37.49 104       0.22
28   75   2  32.59 108       0.26
29   56   2  27.96 101       0.40
30   54   1  25.25 102       0.36
31   67   0  20.28 101       0.22
32   68   0  17.58 110       0.14
33   42   0  14.93  88       0.32
34   61   0  13.14  99       0.08
35   50   0  11.43  86       0.16
36   53   0  10.59  91       0.14
37   50   0   8.64  89       0.08
38   59   0   7.81  82       0.06
39   46   0   6.24  77       0.08
40   31   0   5.42  66       0.12
41   42   0   4.89  69       0.06
42   37   0   4.25  55       0.04
43   25   0   3.71  43       0.08
44   26   0   2.74  36       0.04
45   18   0   2.63  36       0.08
46   17   0   1.92  23       0.08
47   17   0   1.77  30       0.06
48   15   0   1.44  24       0.04
49   16   0   1.38  19       0.02
50   14   0   0.86  11       0.00
51   11   0   0.99  21       0.04
52    9   0   0.84  15       0.02
53   10   0   0.42  10       0.02
54    5   0   0.30   5       0.06
55    9   0   0.49  14       0.02
56   99   0   0.30   5       0.00
57  331   0   0.29   8       0.00
58  200   0   0.26   3       0.00
59  164   0   0.18   7       0.00
60   93   0   0.18   4       0.00
61  110   0   0.22   4       0.00
62  112   0   0.11   3       0.00
63   57   0   0.07   1       0.00
64   67   0   0.05   1       0.00
65   58   0   0.06   2       0.00
66   37   0   0.04   1       0.00
67   41   0   0.07   2       0.00
68   46   0   0.02   2       0.00
69   20   0   0.10   3       0.00
70   24   0   0.02   1       0.00
71   26   0   0.03   1       0.00
72   38   0   0.04   1       0.00
73   24   0   0.05   2       0.00
74   16   0   0.03   1       0.00
75   17   0   0.04   2       0.00
76   12   0   0.01   1       0.00
77   14   0   0.02   1       0.00
78   12   0   0.06   1       0.00
79    8   0   0.06   2       0.00
80    9   0   0.08   2       0.00
