author_id,number_of_selected_projects,total_commits_in_qualifying_projects,mean_commits_per_qualifying_project,median_commits_per_qualifying_project,minimum_commits_in_qualifying_project,maximum_commits_in_qualifying_project,historical_same_language_projects,historical_same_language_commits,followers_before_window,profile_login,profile_company,profile_created_at,profile_type,profile_fake,profile_deleted,profile_long,profile_lat,profile_country_code,profile_state,profile_city,profile_location
32145654,10,1464,146.4,158.5,30,161,115,3302,501,kamilmysliwiec,@nestjs ,2016-11-03 18:46:00,USR,0,0,21.00849000,52.23498000,PL,N,N,Poland
32766251,10,147,14.7,15.0,10,22,29,252,12,terrencecrowley,N,2015-05-11 20:34:57,USR,0,0,0.00000000,0.00000000,N,N,N,N
33560316,10,150,15.0,15.0,15,15,7,79,4,hryb,@akveoDev ,2017-01-03 15:00:03,USR,0,0,27.54942000,53.89769000,BY,N,N,Belarus
5116436,10,696,69.6,12.0,11,494,178,10778,62,pelikhan,Microsoft,2013-04-16 21:36:56,USR,0,0,-122.33028000,47.60323000,US,WA,Seattle,"Seattle, WA"
53094343,10,807,80.7,55.5,10,215,130,1752,0,github-actions[bot],N,2018-07-30 09:30:16,ORG,0,0,0.00000000,0.00000000,N,N,N,N
62143,10,324,32.4,36.0,11,50,98,2323,688,manucorporat,Ionic Framework Team,2009-09-15 16:23:41,USR,0,0,-3.70035000,40.41669000,ES,N,N,Spain
76171,10,542,54.2,68.0,17,68,123,2769,1186,adamdbradley,Ionic,2010-10-24 23:49:52,USR,0,0,-89.38524000,43.07393000,US,WI,Madison,"Madison, Wisconsin"
7667538,10,180,18.0,18.0,18,18,15,94,1,denStrigo,N,2014-08-18 13:07:00,USR,0,0,27.54942000,53.89769000,BY,Gorad Minsk,Minsk,Minsk
7825140,10,1420,142.0,142.0,142,142,10,245,89,KostyaDanovsky,Akveo,2011-05-07 07:43:07,USR,0,0,27.54942000,53.89769000,BY,Gorad Minsk,Minsk,"Minsk, Belarus"
18556,9,3211,356.77777777777777,222.0,10,1171,21,1259,39688,yyx990803,vuejs,2010-11-28 00:05:40,USR,0,0,-75.19829000,40.69809000,US,NJ,Phillipsburg,New Jersey ⇄ China
31264752,9,585,65.0,65.0,65,65,1,26,0,OXJXCHPX,N,2016-09-29 17:37:51,USR,1,0,N,N,N,N,N,N
39646159,9,312,34.666666666666664,31.0,13,82,0,0,3,tavareshenrique,@Zaal-Tecnologia,2017-04-07 17:47:33,USR,0,0,-47.92574000,-15.77938000,BR,N,N,Brazil
53669817,9,290,32.22222222222222,16.0,13,76,0,0,0,rubensojunior,N,2019-02-22 17:47:59,USR,0,0,-37.09321000,-6.46569000,BR,Rio Grande do Norte,Caicó,Caicó/RN - Brasil
7610653,9,2902,322.44444444444446,401.0,33,404,118,2618,705,brandyscarney,@ionic-team ,2015-08-23 23:20:56,USR,0,0,-81.65676000,30.32597000,US,FL,Jacksonville,"Jacksonville, FL"
8036665,9,1617,179.66666666666666,183.0,148,188,4,50,53,maximegris,My own,2015-02-03 08:23:01,USR,0,0,-1.55718000,47.21826000,FR,Pays de la Loire,Nantes,"Nantes, France"
10182850,8,152,19.0,19.0,19,19,8,121,1944,unicodeveloper,N,2012-12-02 20:53:16,USR,0,0,3.38416000,6.49311000,NG,Lagos,Lagos Mainland,"Lagos, Nigeria"
10540545,8,268,33.5,36.5,10,50,8,134,4,Sansossio,N,2015-11-16 18:41:27,USR,0,0,-3.70035000,40.41669000,ES,Community of Madrid,Madrid,"Madrid, Spain"
12110148,8,152,19.0,19.0,19,19,15,232,13,stemmlerjs,@apollographql ,2014-03-08 16:23:35,USR,0,0,-93.28927000,44.97302000,US,MN,Minneapolis,Southern Ontario Cities
12213688,8,192,24.0,24.0,24,24,49,483,605,peggyrayzis,@apollographql ,2016-03-22 22:22:20,USR,0,0,-74.00723000,40.71305000,US,NY,New York,"New York, NY"
1431627,8,1708,213.5,214.0,212,214,8,1052,3,innovad,Zurich University of Applied Sciences,2012-12-20 12:10:34,USR,0,0,8.72616000,47.49988000,CH,Zürich,Winterthur,Winterthur
1754039,8,96,12.0,12.0,12,12,7,119,4,Sacro,N,2012-10-26 18:41:02,USR,0,0,0.00000000,0.00000000,N,N,N,N
2020392,8,143,17.875,18.0,11,25,4,15,20,maximkott,N,2012-10-30 18:40:19,USR,0,0,8.53803000,47.36902000,CH,Zurich,Zurich,"Zurich, Switzerland"
2228703,8,474,59.25,14.5,10,225,120,2628,528,rebornix,Microsoft,2011-06-26 13:49:05,USR,0,0,-122.33028000,47.60323000,US,WA,Seattle,Seattle
239749,8,94,11.75,12.0,10,12,12,101,1712,joeeames,N,2011-09-22 18:55:37,USR,0,0,-111.88814000,40.75848000,US,UT,Salt Lake City,"Salt Lake City, UT"
3322716,8,1851,231.375,101.0,36,877,16,700,2,zlkca,N,2014-02-03 02:38:35,USR,0,0,0.00000000,0.00000000,N,N,N,N
35628131,8,193,24.125,23.0,23,32,672,12017,0,CVYDHOVH,N,2017-04-26 17:43:50,USR,1,1,N,N,N,N,N,N
36295914,8,380,47.5,26.0,17,92,494,14444,0,UUNCGFYD,N,2017-06-02 20:26:51,USR,1,1,N,N,N,N,N,N
4431464,8,215,26.875,27.0,26,27,230,2332,78,hwillson,@apollographql,2009-10-09 23:58:52,USR,0,0,-75.69243000,45.42042000,CA,ON,Ottawa,"Ottawa, Ontario, Canada"
4968089,8,544,68.0,68.0,68,68,19,580,7,trevorblades,@apollographql,2011-11-23 23:26:50,USR,0,0,-122.98170000,49.24377000,CA,BC,Burnaby,"Burnaby, British Columbia"
5916265,8,610,76.25,78.0,71,78,25,626,12,JakeDawkins,@apollographql ,2014-10-15 21:29:21,USR,0,0,-74.00723000,40.71305000,US,NY,New York,"New York, NY"
100225,7,2363,337.57142857142856,338.0,334,345,4,277,128,jleyva,N,2011-02-13 10:11:52,USR,0,0,-3.70035000,40.41669000,ES,N,N,Spain
1283205,7,259,37.0,22.0,14,138,26,186,37,alizahid,N,2011-07-27 08:56:51,USR,0,0,55.29268000,25.26741000,AE,Dubai,Dubai,Dubai
168013,7,373,53.285714285714285,15.0,10,209,344,10611,532,bpasero,Microsoft,2011-07-07 12:20:44,USR,0,0,8.53803000,47.36902000,CH,Zurich,Zurich,"Zurich, Switzerland"
1840429,7,429,61.285714285714285,64.0,50,65,2,37,122,jbavari,N,2012-02-07 01:57:02,USR,0,0,-105.18139000,40.23228000,US,CO,Longmont,"Boulder, CO"
1897580,7,176,25.142857142857142,24.0,23,28,8,82,3,NoelDeMartin,N,2012-03-08 19:38:00,USR,0,0,0.00000000,0.00000000,N,N,N,N
2105414,7,231,33.0,33.0,33,33,56,1097,181,danbucholtz,Ionic,2013-06-12 13:13:29,USR,0,0,-87.90942000,43.04107000,US,WI,Milwaukee,"Milwaukee, Wisconsin"
2188014,7,175,25.0,25.0,25,25,102,847,912,mhartington,@ionic-team ,2012-11-19 14:47:36,USR,0,0,-71.58876000,41.69523000,US,RI,N,Rhode Island
220289,7,140,20.0,20.0,20,20,60,2237,191,dwieeb,Ionic,2010-04-04 00:06:09,USR,0,0,0.00000000,0.00000000,N,N,N,N
2246720,7,182,26.0,21.0,11,53,7,77,10,Alorel,N,2013-07-12 13:28:26,USR,0,0,-97.71889000,43.14963000,US,SD,Scotland,Scotland
249151,7,525,75.0,47.0,15,165,5,210,270,miya0001,@geolonia,2010-06-20 10:08:16,USR,0,0,0.00000000,0.00000000,N,N,N,"Kushimoto-cho Higashimuro-gun, Wakayama, 649-3511, Japan"
271879,7,1809,258.42857142857144,261.0,239,265,5,380,26,crazyserver,Moodle HQ,2011-01-11 07:23:18,USR,0,0,1.10662000,41.64740000,ES,Cataluña,Vilagrassa,Catalunya
31178340,7,300,42.857142857142854,24.0,11,145,0,0,0,Sagie501,N,2016-09-23 14:44:36,USR,0,0,0.00000000,0.00000000,N,N,N,N
346774,7,192,27.428571428571427,16.0,11,56,2,74,32,fgimenez,@w3f,2009-04-04 03:25:45,USR,0,0,-3.70035000,40.41669000,ES,Community of Madrid,Madrid,"Madrid, Spain"
43610,7,257,36.714285714285715,21.0,10,103,32,412,58,aiwilliams,@jupiterone-io ,2008-03-08 01:37:39,USR,0,0,-78.78114000,35.79147000,US,NC,Cary,"Cary, NC"
51697692,7,568,81.14285714285714,71.0,17,225,132,6487,0,mergify[bot],N,2018-03-30 10:19:51,ORG,0,0,0.00000000,0.00000000,N,N,N,N
51702498,7,850,121.42857142857143,100.0,24,296,94,1887,0,depfu[bot],N,2016-11-24 09:25:59,ORG,0,0,0.00000000,0.00000000,N,N,N,N
527405,7,481,68.71428571428571,62.0,62,91,3,76,6,albertgasset,N,2010-10-15 06:18:17,USR,0,0,2.16992000,41.38792000,ES,Cataluña,Barcelona,Barcelona
53837494,7,77,11.0,11.0,11,11,2,10,0,vtexcoursemaker,@vtex,2019-12-30 19:06:21,USR,0,1,N,N,N,N,N,N
55413169,7,101,14.428571428571429,13.0,10,24,0,0,0,DjailinVasu,N,2019-04-02 19:54:17,USR,0,0,0.00000000,0.00000000,N,N,N,N
57298097,7,106,15.142857142857142,15.0,11,21,1,1,0,ganatan,ganatan,2017-10-20 12:22:52,USR,0,0,2.35085000,48.85689000,FR,N,N,France
6949588,7,441,63.0,24.0,10,222,240,4783,87,sandy081,Microsoft,2015-01-28 18:36:38,USR,0,0,8.53803000,47.36902000,CH,Zurich,Zurich,"Zurich, Switzerland"
788457,7,708,101.14285714285714,103.0,92,104,13,305,262,tlancina,Ionic,2011-05-23 01:11:03,USR,0,0,-122.42016000,37.78008000,US,CA,San Francisco,SF
8379315,7,735,105.0,115.0,40,138,4,261,5,timmydoza,@twilio ,2015-05-31 14:46:55,USR,0,0,-104.98485000,39.73845000,US,CO,Denver,"Denver, CO"
8937810,7,184,26.285714285714285,31.0,15,41,27,405,3,deerboy,@deer-inc ,2013-11-03 09:24:03,USR,0,0,139.74946000,35.68696000,JP,Kanto,Tokyo,Tokyo
9628127,7,1971,281.57142857142856,280.0,264,290,6,228,15,dpalou,N,2014-05-15 06:54:15,USR,0,0,0.00000000,0.00000000,N,N,N,N
10330243,6,271,45.166666666666664,35.5,14,102,3,45,2,donkeykong91,N,2015-10-31 00:21:30,USR,0,0,-117.98102000,33.75513000,US,CA,Westminster,"Westminster, CA"
106354,6,327,54.5,37.5,10,170,219,8326,406,joaomoreno,Microsoft,2008-08-28 13:00:17,USR,0,0,8.53803000,47.36902000,CH,Zurich,Zurich,"Zurich, Switzerland"
11406615,6,337,56.166666666666664,45.0,10,142,272,6734,156,mjbvz,Microsoft,2015-06-10 00:23:25,USR,0,0,0.00000000,0.00000000,N,N,N,N
12294043,6,126,21.0,18.0,11,32,8,108,3,DManavi,@KeenDev-Team,2015-01-09 19:51:47,USR,0,0,0.00000000,0.00000000,N,N,N,N
2105737,6,67,11.166666666666666,10.5,10,14,4,23,5,Destiner,N,2013-04-24 15:35:40,USR,0,0,37.61492000,55.75654000,RU,N,N,Russia
218355,6,540,90.0,99.0,22,122,69,2094,64,scttcper,N,2012-02-02 04:19:57,USR,0,0,-122.42016000,37.78008000,US,CA,San Francisco,San Francisco
2567901,6,65,10.833333333333334,11.0,10,11,5,13,6,ZiFFeL1992,N,2013-09-19 07:02:32,USR,0,1,0.00000000,0.00000000,N,N,N,N
31230251,6,430,71.66666666666667,69.5,12,154,84,1777,44,WMXPY,@SudoDotDog,2013-07-25 02:18:17,USR,0,0,-80.99071000,35.77387000,US,NC,Statesville,Orbit
368342,6,1046,174.33333333333334,91.0,46,512,0,0,3,johnnyoshika,BC Jobs Online Inc.,2010-12-01 05:42:04,USR,0,0,-123.13857000,49.26357000,CA,BC,Vancouver,"Vancouver, Canada"
3832251,6,159,26.5,23.5,12,61,16,472,8,Darzu,N,2014-01-20 18:42:21,USR,0,0,0.00000000,0.00000000,N,N,N,N
40973715,6,445,74.16666666666667,72.0,49,98,0,0,0,luriel-xyz,N,2018-01-30 05:55:46,USR,0,0,120.59080000,16.41384000,PH,Cordillera Admin Region,Baguio City,"Baguio City, Philippines"
41973138,6,71,11.833333333333334,11.5,10,15,0,0,2,markobojkic,Faculty of Technical Sciences,2018-02-07 18:05:30,USR,0,0,20.46048000,44.81507000,RS,N,N,Serbia
48356519,6,411,68.5,59.0,40,130,7,47,0,XCNWTQAI,N,2018-12-20 20:50:05,USR,1,0,N,N,N,N,N,N
5016101,6,469,78.16666666666667,44.0,13,190,11,469,0,garronej,@entrepreneur-interet-general,2014-02-17 06:50:48,USR,0,0,2.35085000,48.85689000,FR,N,N,France
50215413,6,178,29.666666666666668,23.0,10,56,24,181,0,erkangz,@JupiterOne @lifeomic ,2017-05-18 14:02:40,USR,0,0,0.00000000,0.00000000,N,N,N,N
52709919,6,214,35.666666666666664,24.5,10,113,6,124,0,RVPRGXWA,N,2020-01-14 12:09:42,USR,1,0,N,N,N,N,N,N
53095746,6,180,30.0,21.0,10,78,104,725,0,allcontributors[bot],N,2019-01-07 12:57:03,ORG,0,0,0.00000000,0.00000000,N,N,N,N
54673331,6,142,23.666666666666668,23.0,10,39,1,6,0,melissagovender9701,N,2019-10-24 13:54:25,USR,0,0,0.00000000,0.00000000,N,N,N,N
55426271,6,147,24.5,26.0,13,30,0,0,0,LilianLourenco,N,2019-11-05 12:39:41,USR,0,0,0.00000000,0.00000000,N,N,N,N
55868545,6,228,38.0,24.5,14,96,0,0,0,leon-carvalho,N,2020-03-10 18:36:58,USR,0,0,0.00000000,0.00000000,N,N,N,N
56005121,6,340,56.666666666666664,51.5,42,88,1,15,0,devboldly,N,2019-09-03 23:17:59,USR,0,0,-97.74660000,30.26498000,US,TX,Austin,"Austin, TX"
56588906,6,280,46.666666666666664,31.5,13,127,0,0,0,ryoshii,N,2013-12-04 22:52:09,USR,0,0,0.00000000,0.00000000,N,N,N,N
85975,6,104,17.333333333333332,18.0,14,18,56,1615,118,AlbertoBasalo,Ágora Binaria,2011-04-28 11:29:26,USR,0,0,-3.70035000,40.41669000,ES,N,N,Spain
9001261,6,314,52.333333333333336,15.0,13,147,0,0,0,nguyenpl117,N,2014-10-03 11:14:09,USR,0,0,0.00000000,0.00000000,N,N,N,N
9697073,6,289,48.166666666666664,41.0,22,108,17,105,0,msanchezal,N,2015-10-05 11:52:45,USR,0,0,0.00000000,0.00000000,N,N,N,N
9850463,6,204,34.0,26.5,11,83,0,0,1,DouglasFuelber,Conectt,2015-10-10 15:52:58,USR,0,0,-52.93644000,-29.72777000,BR,Rio Grande do Sul,Novo Cabrais,"Santa Cruz do Sul, RS, Brazil"
99701,6,876,146.0,139.0,10,323,91,373,419,torkelo,Grafana Labs,2008-05-21 05:56:22,USR,0,0,18.06449000,59.33279000,SE,N,Stockholm,Stockholm
1065732,5,550,110.0,154.0,24,168,1,16,62,rowanc1,@iooxa,2011-07-13 15:34:12,USR,0,0,-86.24364000,35.87144000,US,TN,Murfreesboro,The Future
10776453,5,135,27.0,23.0,14,43,17,87,4,bezael,[DominiCode],2014-04-26 15:58:38,USR,0,0,2.16992000,41.38792000,ES,Cataluña,Barcelona,Barcelona
11623115,5,80,16.0,17.0,12,17,7,34,6,scheeles,@kubermatic ,2014-12-02 12:58:09,USR,0,0,9.99165000,53.55384000,DE,Hamburg,Hamburg,Hamburg
12397863,5,86,17.2,15.0,10,26,6,118,0,trem7,N,2016-04-07 16:38:26,USR,0,0,0.00000000,0.00000000,N,N,N,N
125871,5,351,70.2,76.0,13,157,196,5937,144,roblourens,Microsoft,2010-07-06 03:17:21,USR,0,0,-122.33028000,47.60323000,US,WA,Seattle,"Seattle, WA"
1327929,5,207,41.4,22.0,15,97,7,17,0,jmvalencia,Alert Logic,2012-05-07 17:17:27,USR,0,0,-76.19665000,4.08432000,CO,Valle del Cauca,Tuluá,"Tuluá, Valle del Cauca"
149464,5,686,137.2,88.0,22,294,13,48,69,aknuds1,@grafana,2010-05-19 09:58:21,USR,0,0,13.41144000,52.52343000,DE,Berlin,Berlin,"Berlin, Germany"
16135910,5,140,28.0,22.0,13,44,1,6,4,ashnamuh,LINE+,2015-09-01 05:06:35,USR,0,0,0.00000000,0.00000000,N,N,N,N
1921968,5,334,66.8,69.0,10,108,35,126,2,dprokop,Grafana Labs,2012-09-19 05:55:59,USR,0,0,21.00849000,52.23498000,PL,Mazovia,Warsaw,Warsaw
212879,5,160,32.0,26.0,14,56,104,1530,12071,johnpapa,"JohnPapa.net, LLC",2011-11-17 16:05:03,USR,0,0,-81.37888000,28.53833000,US,FL,Orlando,"Orlando, FL"
235439,5,141,28.2,22.0,17,47,45,115,81,bergquist,@grafana ,2011-02-15 08:24:07,USR,0,0,18.06449000,59.33279000,SE,N,Stockholm,"Stockholm, Sweden"
2486521,5,120,24.0,26.0,12,38,1,9,0,CarlosCraviotto,N,2012-11-23 15:25:01,USR,0,0,2.16992000,41.38792000,ES,Cataluña,Barcelona,"Barcelona, España"
28332,5,192,38.4,23.0,20,81,41,815,36,farfromrefug,Akylas,2011-03-07 09:42:44,USR,0,0,2.35085000,48.85689000,FR,N,N,France
30351173,5,151,30.2,24.0,11,55,15,229,202,web-flow,N,2016-06-10 22:16:20,USR,0,0,0.00000000,0.00000000,N,N,N,N
30685542,5,153,30.6,17.0,10,77,0,0,8,rafaelone,N,2016-08-25 18:00:11,USR,0,0,0.00000000,0.00000000,N,N,N,N
31176371,5,211,42.2,36.0,12,95,3,39,0,pullmana8,N,2016-04-28 02:12:44,USR,0,0,-91.06031000,39.44358000,US,MO,Louisiana,Louisiana
314639,5,176,35.2,38.0,12,58,60,148,22,marefr,@grafana ,2012-04-22 18:53:46,USR,0,0,18.06449000,59.33279000,SE,N,N,Sweden
35405138,5,1095,219.0,35.0,11,707,20,1274,0,sprout2000,Personal development,2017-04-15 01:45:42,USR,0,0,139.74946000,35.68696000,JP,N,N,Japan
367291,5,198,39.6,29.0,12,71,7,14,12,mckn,N,2009-12-28 08:45:49,USR,0,0,18.06449000,59.33279000,SE,N,Stockholm,"Stockholm, Sweden"
37258928,5,72,14.4,11.0,10,26,1,1,1,QueensCoder,Narrativ,2017-07-26 15:54:08,USR,0,0,-74.00723000,40.71305000,US,NY,New York,"New York, New York"
39033759,5,137,27.4,26.0,12,54,61,1119,39,pedrouid,@WalletConnect ,2014-12-09 23:50:46,USR,0,0,-84.72119000,39.08386000,US,KY,Francisville,Worldwide
40618332,5,91,18.2,18.0,13,27,5,23,1,Mardoniosc,Tecnisys,2018-01-14 14:49:47,USR,0,0,-48.04504000,-15.76965000,BR,Federal District,Brasília,Brasilia - DF
41617050,5,69,13.8,12.0,10,25,0,0,0,Darantir,N,2018-01-14 10:35:08,USR,0,0,0.00000000,0.00000000,N,N,N,N
43939835,5,197,39.4,24.0,11,100,2,5,0,correaleyval,UO,2017-10-07 22:52:00,USR,0,0,-75.82133000,20.02502000,CU,Santiago de Cuba,Santiago de Cuba,"Santiago de Cuba, Cuba"
44545370,5,83,16.6,15.0,10,24,45,140,0,SinghDigamber,positronX.io,2013-01-08 12:52:09,USR,0,0,77.21879000,28.63243000,IN,Delhi,New Delhi,New Delhi
44826579,5,144,28.8,20.0,11,73,52,1120,7,timdeschryver,N,2017-05-12 19:45:02,USR,0,0,4.35571000,50.84554000,BE,N,N,Belgium
44909642,5,83,16.6,16.0,10,24,0,0,0,saijeevanballa,N,2018-07-18 01:50:34,USR,0,0,78.47517000,17.36172000,IN,Telangana,Hyderabad,Hyderabad
45265623,5,101,20.2,17.0,10,36,0,0,0,martinjoost,N,2018-08-07 00:29:46,USR,0,1,N,N,N,N,N,N
455071,5,91,18.2,14.0,11,31,9,13,4,robertourias,Nicoletti,2012-07-26 22:49:10,USR,0,0,-47.92574000,-15.77938000,BR,N,N,Brasil
466518,5,381,76.2,73.0,21,152,16,76,1,hugohaggmark,N,2011-01-13 07:21:01,USR,0,0,18.06449000,59.33279000,SE,N,N,Sweden
47098907,5,243,48.6,15.0,12,172,6,46,0,diegomais,koper.com.br,2018-07-02 01:28:18,USR,0,0,-48.61199000,-27.09110000,BR,Santa Catarina,Itapema,"Itapema, Santa Catarina, Brazil"
49082595,5,477,95.4,85.0,83,135,3,15,0,corpglory-dev,CorpGlory,2019-01-26 11:22:39,USR,0,0,0.00000000,0.00000000,N,N,N,N
5039173,5,86,17.2,14.0,11,28,0,0,0,leticiaenz,N,2014-09-03 22:58:20,USR,0,0,0.00000000,0.00000000,N,N,N,N
50449700,5,766,153.2,34.0,20,623,93,1967,0,DYQQOGRD,N,2019-04-03 06:21:29,USR,1,0,N,N,N,N,N,N
50555335,5,79,15.8,14.0,13,20,2,38,0,luminuszz,startapp,2019-03-13 22:35:37,USR,0,0,-89.19235000,13.69841000,SV,N,N,Salvador
51738562,5,402,80.4,39.0,14,227,11,800,0,hrueger,N,2016-04-25 09:19:15,USR,0,0,-87.61510000,45.46683000,US,MI,Daggett,127.0.0.1
51802612,5,175,35.0,29.0,15,78,7,94,0,mat-sz,N,2019-11-18 08:50:32,USR,0,0,0.00000000,0.00000000,N,N,N,N
52273090,5,60,12.0,10.0,10,19,0,0,0,jvictorfarias,@OSFGlobal ,2014-01-13 23:35:54,USR,0,0,-39.29521000,-5.19750000,BR,Ceará,Quixeramobim,"Quixeramobim, Ceará - Brazil"
52309942,5,213,42.6,31.0,15,82,0,0,0,khakholin,Intabia,2019-08-28 02:34:18,USR,0,0,82.92800000,55.03168000,RU,Sibirskiy Federal'nyy Okrug,Novosibirsk,"Russia, Novosibirsk"
52849599,5,144,28.8,28.0,25,34,1,1,0,Biphyl,N,2020-01-15 06:11:58,USR,0,0,0.00000000,0.00000000,N,N,N,N
52935346,5,126,25.2,21.0,14,40,4,29,0,Bryantellius,TrueCoders,2020-01-17 02:19:34,USR,0,0,-86.80770000,33.52286000,US,AL,Birmingham,"Birmingham, AL"
53017014,5,143,28.6,12.0,10,89,0,0,0,ARTHURPC03,N,2019-09-10 17:44:06,USR,0,0,0.00000000,0.00000000,N,N,N,N
54132545,5,70,14.0,11.0,11,24,1,1,0,INROGXGM,N,2020-02-08 04:55:22,USR,1,0,N,N,N,N,N,N
55200900,5,314,62.8,64.0,15,111,2,89,0,greatSumini,생각하는머글들,2019-03-14 12:04:16,USR,0,0,126.99778000,37.56829000,KR,Seoul-Jikhalsi,Seoul,"Seoul, Sinchon"
560023,5,177,35.4,20.0,12,108,17,190,26,MasterOdin,CISL,2012-06-13 04:02:01,USR,0,0,-73.69106000,42.72768000,US,NY,Troy,"Troy, NY"
56380799,5,179,35.8,42.0,10,66,0,0,0,zevdvlpr,N,2018-10-18 22:59:57,USR,0,0,-47.92574000,-15.77938000,BR,N,N,Brazil
