"analysis","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"block_diagonal_journals","m0_edges","edges",-3.48422502555098,0.00504784098647988,-690.240646423514,0,0.0306775235162328,0.0303755037260738,0.030982546250951,"***","ok",NA
"block_diagonal_journals","m1_prior","edges",-3.84569696533435,0.00602269503899363,-638.534234331239,0,0.0213715011737724,0.0211207048396644,0.021625275571429,"***","ok",NA
"block_diagonal_journals","m1_prior","edgecov.prior_big",6.73949422205354,0.0398532439697809,169.107795269158,0,845.133178012228,781.630297860721,913.79529495199,"***","ok",NA
"block_diagonal_journals","m2_prior_expertise","edges",-3.93765268346815,0.00661963235299293,-594.844618778236,0,0.0194939194821285,0.0192426297271335,0.019748490833343,"***","ok",NA
"block_diagonal_journals","m2_prior_expertise","edgecov.prior_big",7.287742779806,0.0416780983788696,174.857852523828,0,1462.2663121958,1347.56387867389,1586.73202927261,"***","ok",NA
"block_diagonal_journals","m2_prior_expertise","nodecov.expertise_model_z",-0.327618254789695,0.00533966483796096,-61.3555840547477,0,0.720638067333472,0.713135383527663,0.728219684628756,"***","ok",NA
"block_diagonal_journals","m3_prior_expertise_similarity","edges",-3.8552121479118,0.0117877228341099,-327.053172369818,0,0.0211691118508327,0.0206856287177623,0.0216638953868618,"***","ok",NA
"block_diagonal_journals","m3_prior_expertise_similarity","edgecov.prior_big",7.19141230527465,0.0429460858547989,167.452100980492,0,1327.97739130887,1220.77108748779,1444.59839350935,"***","ok",NA
"block_diagonal_journals","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.276911523640422,0.00796819590000954,-34.7520978544329,1.28846850568811e-264,0.758121569979912,0.746373459864643,0.770054598368274,"***","ok",NA
"block_diagonal_journals","m3_prior_expertise_similarity","absdiff.expertise_model_z",-0.0853744171242945,0.0103463385969788,-8.2516550491808,1.56215787873728e-16,0.918168442047552,0.899736585950943,0.936977890124382,"***","ok",NA
"block_diagonal_journals","m4_full","edges",-3.64351650052453,0.013485038285621,-270.189555517212,0,0.0261601897095706,0.025477815762374,0.0268608397212524,"***","ok",NA
"block_diagonal_journals","m4_full","edgecov.prior_big",7.36832966760049,0.0432167699386613,170.497001003512,0,1584.98412042278,1456.2571082746,1725.0900597964,"***","ok",NA
"block_diagonal_journals","m4_full","nodecov.expertise_model_z",-0.3708366735726,0.0084154697123211,-44.0660695421026,0,0.690156653174655,0.678866356902547,0.70163471952642,"***","ok",NA
"block_diagonal_journals","m4_full","absdiff.expertise_model_z",-0.0221085007844208,0.0105237413572348,-2.10082137463609,0.0356566493926493,0.978134100976274,0.958165237794313,0.998519129847672,"*","ok",NA
"block_diagonal_journals","m4_full","nodecov.leadership_model_z",0.119787033847077,0.00478283383015714,25.0452008371659,1.96922259350726e-138,1.12725675847922,1.11673883064608,1.13787374869192,"***","ok",NA
"block_diagonal_journals","m4_full","absdiff.leadership_model_z",-0.27414115020062,0.00817783035344146,-33.522479478344,2.2676004265015e-246,0.760224761809757,0.748136599750497,0.772508240689528,"***","ok",NA
